transaction_id,amount_valid,currency_valid,channel_valid,status_valid,timestamp_valid
TXN00028942,PASS,FAIL,PASS,PASS,PASS
TXN00009547,PASS,FAIL,PASS,PASS,PASS
TXN00049283,PASS,PASS,FAIL,PASS,PASS
TXN00041250,PASS,PASS,FAIL,PASS,PASS
TXN00011640,PASS,FAIL,PASS,PASS,PASS
TXN00037810,PASS,PASS,FAIL,PASS,PASS
TXN00020501,PASS,FAIL,PASS,PASS,PASS
TXN00011967,PASS,PASS,FAIL,PASS,PASS
TXN00049804,PASS,PASS,FAIL,PASS,PASS
TXN00024986,PASS,PASS,FAIL,PASS,PASS
TXN00006940,PASS,FAIL,PASS,PASS,PASS
TXN00010700,PASS,PASS,FAIL,PASS,PASS
TXN00040633,PASS,FAIL,PASS,PASS,PASS
TXN00036794,PASS,FAIL,PASS,PASS,PASS
TXN00001337,PASS,FAIL,PASS,PASS,PASS
TXN00046659,PASS,PASS,FAIL,PASS,PASS
TXN00021823,PASS,FAIL,PASS,PASS,PASS
TXN00005213,PASS,PASS,FAIL,PASS,PASS
TXN00029285,PASS,FAIL,PASS,PASS,PASS
TXN00030492,PASS,PASS,FAIL,PASS,PASS
TXN00014231,PASS,PASS,FAIL,PASS,PASS
TXN00010711,PASS,FAIL,PASS,PASS,PASS
TXN00026196,PASS,FAIL,PASS,PASS,PASS
TXN00006420,PASS,FAIL,PASS,PASS,PASS
TXN00041333,PASS,PASS,FAIL,PASS,PASS
TXN00020322,PASS,PASS,FAIL,PASS,PASS
TXN00034352,PASS,FAIL,PASS,PASS,PASS
TXN00026016,PASS,PASS,FAIL,PASS,PASS
TXN00040138,PASS,PASS,FAIL,PASS,PASS
TXN00036092,FAIL,PASS,PASS,PASS,PASS
TXN00023855,PASS,PASS,FAIL,PASS,PASS
TXN00008443,PASS,FAIL,PASS,PASS,PASS
TXN00008160,PASS,FAIL,PASS,PASS,PASS
TXN00032731,PASS,PASS,FAIL,PASS,PASS
TXN00020423,PASS,FAIL,PASS,PASS,PASS
TXN00043792,PASS,PASS,FAIL,PASS,PASS
TXN00005684,PASS,PASS,FAIL,PASS,PASS
TXN00002122,PASS,PASS,FAIL,PASS,PASS
TXN00042988,PASS,PASS,FAIL,PASS,PASS
TXN00015891,PASS,FAIL,PASS,PASS,PASS
TXN00028036,PASS,PASS,FAIL,PASS,PASS
TXN00004970,PASS,PASS,FAIL,PASS,PASS
TXN00028313,PASS,PASS,FAIL,PASS,PASS
TXN00047646,PASS,PASS,FAIL,PASS,PASS
TXN00031483,PASS,FAIL,PASS,PASS,PASS
TXN00029615,PASS,PASS,FAIL,PASS,PASS
TXN00024980,PASS,FAIL,PASS,PASS,PASS
TXN00015792,PASS,FAIL,PASS,PASS,PASS
TXN00022311,PASS,FAIL,PASS,PASS,PASS
TXN00010840,PASS,FAIL,PASS,PASS,PASS
TXN00032660,PASS,PASS,FAIL,PASS,PASS
TXN00001329,PASS,PASS,FAIL,PASS,PASS
TXN00049578,PASS,FAIL,PASS,PASS,PASS
TXN00027537,PASS,FAIL,PASS,PASS,PASS
TXN00043028,PASS,FAIL,PASS,PASS,PASS
TXN00043028,PASS,FAIL,PASS,PASS,PASS
TXN00002247,PASS,FAIL,PASS,PASS,PASS
TXN00001614,PASS,PASS,FAIL,PASS,PASS
TXN00001614,PASS,PASS,FAIL,PASS,PASS
TXN00047715,PASS,PASS,FAIL,PASS,PASS
TXN00033926,PASS,PASS,FAIL,PASS,PASS
TXN00013415,PASS,FAIL,PASS,PASS,PASS
TXN00013480,PASS,FAIL,PASS,PASS,PASS
TXN00003151,PASS,FAIL,PASS,PASS,PASS
TXN00024919,PASS,FAIL,PASS,PASS,PASS
TXN00032952,PASS,PASS,FAIL,PASS,PASS
TXN00010581,PASS,FAIL,PASS,PASS,PASS
TXN00000178,PASS,PASS,FAIL,PASS,PASS
TXN00024347,PASS,FAIL,PASS,PASS,PASS
TXN00023431,PASS,PASS,FAIL,PASS,PASS
TXN00033857,PASS,PASS,FAIL,PASS,PASS
TXN00038895,PASS,FAIL,PASS,PASS,PASS
TXN00012468,PASS,PASS,FAIL,PASS,PASS
TXN00023845,PASS,FAIL,PASS,PASS,PASS
TXN00046081,PASS,PASS,FAIL,PASS,PASS
TXN00021603,PASS,PASS,FAIL,PASS,PASS
TXN00016982,PASS,FAIL,PASS,PASS,PASS
TXN00047466,PASS,FAIL,PASS,PASS,PASS
TXN00042322,PASS,PASS,FAIL,PASS,PASS
TXN00024343,PASS,FAIL,PASS,PASS,PASS
TXN00017170,PASS,PASS,FAIL,PASS,PASS
TXN00023955,PASS,PASS,FAIL,PASS,PASS
TXN00042137,PASS,PASS,FAIL,PASS,PASS
TXN00012658,PASS,PASS,FAIL,PASS,PASS
TXN00009450,PASS,FAIL,PASS,PASS,PASS
TXN00002599,PASS,FAIL,PASS,PASS,PASS
TXN00037225,PASS,PASS,FAIL,PASS,PASS
TXN00035349,PASS,PASS,FAIL,PASS,PASS
TXN00015125,PASS,PASS,FAIL,PASS,PASS
TXN00046725,PASS,FAIL,PASS,PASS,PASS
TXN00015624,PASS,PASS,FAIL,PASS,PASS
TXN00014608,PASS,FAIL,PASS,PASS,PASS
TXN00010237,PASS,PASS,FAIL,PASS,PASS
TXN00025403,PASS,FAIL,PASS,PASS,PASS
TXN00013524,PASS,PASS,FAIL,PASS,PASS
TXN00024199,PASS,FAIL,PASS,PASS,PASS
TXN00006979,PASS,FAIL,PASS,PASS,PASS
TXN00000473,PASS,PASS,FAIL,PASS,PASS
TXN00032331,PASS,PASS,FAIL,PASS,PASS
TXN00022988,PASS,PASS,FAIL,PASS,PASS
TXN00042626,PASS,PASS,FAIL,PASS,PASS
TXN00033815,PASS,FAIL,PASS,PASS,PASS
TXN00046638,PASS,PASS,FAIL,PASS,PASS
TXN00027300,PASS,PASS,FAIL,PASS,PASS
TXN00036811,PASS,PASS,FAIL,PASS,PASS
TXN00047483,PASS,FAIL,PASS,PASS,PASS
TXN00045483,PASS,FAIL,PASS,PASS,PASS
TXN00034994,PASS,PASS,FAIL,PASS,PASS
TXN00032112,PASS,FAIL,PASS,PASS,PASS
TXN00016867,PASS,PASS,FAIL,PASS,PASS
TXN00024105,FAIL,PASS,PASS,PASS,PASS
TXN00009218,PASS,FAIL,PASS,PASS,PASS
TXN00019818,PASS,FAIL,PASS,PASS,PASS
TXN00007031,PASS,PASS,FAIL,PASS,PASS
TXN00006989,PASS,PASS,FAIL,PASS,PASS
TXN00049737,PASS,FAIL,PASS,PASS,PASS
TXN00031899,PASS,FAIL,PASS,PASS,PASS
TXN00027030,PASS,PASS,FAIL,PASS,PASS
TXN00030145,PASS,PASS,FAIL,PASS,PASS
TXN00016430,PASS,PASS,FAIL,PASS,PASS
TXN00008996,PASS,PASS,FAIL,PASS,PASS
TXN00035096,PASS,PASS,FAIL,PASS,PASS
TXN00011235,FAIL,PASS,PASS,PASS,PASS
TXN00036101,PASS,FAIL,PASS,PASS,PASS
TXN00003696,PASS,PASS,FAIL,PASS,PASS
TXN00029815,FAIL,PASS,FAIL,PASS,PASS
TXN00039891,PASS,FAIL,PASS,PASS,PASS
TXN00048353,PASS,FAIL,PASS,PASS,PASS
TXN00031209,PASS,FAIL,PASS,PASS,PASS
TXN00031507,PASS,FAIL,PASS,PASS,PASS
TXN00045430,PASS,PASS,FAIL,PASS,PASS
TXN00011863,PASS,FAIL,PASS,PASS,PASS
TXN00027009,PASS,PASS,FAIL,PASS,PASS
TXN00014365,PASS,FAIL,PASS,PASS,PASS
TXN00034062,PASS,FAIL,PASS,PASS,PASS
TXN00027378,PASS,PASS,FAIL,PASS,PASS
TXN00042513,PASS,PASS,FAIL,PASS,PASS
TXN00022303,PASS,FAIL,PASS,PASS,PASS
TXN00013816,PASS,PASS,FAIL,PASS,PASS
TXN00019511,PASS,PASS,FAIL,PASS,PASS
TXN00044155,PASS,PASS,FAIL,PASS,PASS
TXN00003923,PASS,FAIL,PASS,PASS,PASS
TXN00020188,PASS,PASS,FAIL,PASS,PASS
TXN00013531,PASS,PASS,FAIL,PASS,PASS
TXN00013262,PASS,FAIL,PASS,PASS,PASS
TXN00020319,PASS,PASS,FAIL,PASS,PASS
TXN00021097,PASS,FAIL,PASS,PASS,PASS
TXN00026241,PASS,FAIL,PASS,PASS,PASS
TXN00018150,PASS,FAIL,PASS,PASS,PASS
TXN00029551,PASS,PASS,FAIL,PASS,PASS
TXN00015292,PASS,FAIL,PASS,PASS,PASS
TXN00045043,PASS,FAIL,PASS,PASS,PASS
TXN00038881,FAIL,PASS,PASS,PASS,PASS
TXN00037944,PASS,FAIL,PASS,PASS,PASS
TXN00022185,PASS,PASS,FAIL,PASS,PASS
TXN00017172,PASS,PASS,FAIL,PASS,PASS
TXN00011570,PASS,PASS,FAIL,PASS,PASS
TXN00048677,PASS,FAIL,PASS,PASS,PASS
TXN00002194,PASS,FAIL,PASS,PASS,PASS
TXN00046164,PASS,FAIL,PASS,PASS,PASS
TXN00015789,FAIL,PASS,PASS,PASS,PASS
TXN00045932,PASS,FAIL,PASS,PASS,PASS
TXN00034054,PASS,FAIL,PASS,PASS,PASS
TXN00040395,PASS,FAIL,PASS,PASS,PASS
TXN00014108,PASS,FAIL,PASS,PASS,PASS
TXN00019128,PASS,FAIL,PASS,PASS,PASS
TXN00025707,PASS,PASS,FAIL,PASS,PASS
TXN00016259,FAIL,PASS,PASS,PASS,PASS
TXN00029287,PASS,FAIL,PASS,PASS,PASS
TXN00018359,PASS,FAIL,PASS,PASS,PASS
TXN00016521,PASS,PASS,FAIL,PASS,PASS
TXN00020006,PASS,PASS,FAIL,PASS,PASS
TXN00006884,PASS,PASS,FAIL,PASS,PASS
TXN00017318,PASS,FAIL,PASS,PASS,PASS
TXN00026848,PASS,PASS,FAIL,PASS,PASS
TXN00009282,PASS,PASS,FAIL,PASS,PASS
TXN00017506,PASS,FAIL,FAIL,PASS,PASS
TXN00041827,PASS,PASS,FAIL,PASS,PASS
TXN00027641,PASS,PASS,FAIL,PASS,PASS
TXN00002915,PASS,PASS,FAIL,PASS,PASS
TXN00006328,PASS,FAIL,PASS,PASS,PASS
TXN00022002,PASS,PASS,FAIL,PASS,PASS
TXN00022002,PASS,PASS,FAIL,PASS,PASS
TXN00006849,PASS,PASS,FAIL,PASS,PASS
TXN00017576,PASS,PASS,FAIL,PASS,PASS
TXN00009425,PASS,FAIL,PASS,PASS,PASS
TXN00028677,PASS,PASS,FAIL,PASS,PASS
TXN00049047,PASS,FAIL,PASS,PASS,PASS
TXN00008720,PASS,FAIL,PASS,PASS,PASS
TXN00025548,PASS,FAIL,PASS,PASS,PASS
TXN00038345,PASS,FAIL,PASS,PASS,PASS
TXN00029495,PASS,PASS,FAIL,PASS,PASS
TXN00009380,PASS,FAIL,PASS,PASS,PASS
TXN00014000,PASS,PASS,FAIL,PASS,PASS
TXN00016422,PASS,FAIL,PASS,PASS,PASS
TXN00028659,PASS,PASS,FAIL,PASS,PASS
TXN00027808,PASS,PASS,FAIL,PASS,PASS
TXN00001282,PASS,PASS,FAIL,PASS,PASS
TXN00001282,PASS,PASS,FAIL,PASS,PASS
TXN00044097,PASS,FAIL,PASS,PASS,PASS
TXN00049866,PASS,FAIL,PASS,PASS,PASS
TXN00017443,PASS,PASS,FAIL,PASS,PASS
TXN00020958,PASS,PASS,FAIL,PASS,PASS
TXN00023160,PASS,PASS,FAIL,PASS,PASS
TXN00026835,PASS,PASS,FAIL,PASS,PASS
TXN00032965,PASS,PASS,FAIL,PASS,PASS
TXN00006045,PASS,FAIL,PASS,PASS,PASS
TXN00024486,PASS,PASS,FAIL,PASS,PASS
TXN00048015,PASS,FAIL,PASS,PASS,PASS
TXN00015647,PASS,FAIL,FAIL,PASS,PASS
TXN00023732,PASS,FAIL,PASS,PASS,PASS
TXN00004734,PASS,PASS,FAIL,PASS,PASS
TXN00005872,PASS,PASS,FAIL,PASS,PASS
TXN00029029,PASS,FAIL,PASS,PASS,PASS
TXN00017035,PASS,PASS,FAIL,PASS,PASS
TXN00046056,PASS,FAIL,PASS,PASS,PASS
TXN00015591,PASS,FAIL,PASS,PASS,PASS
TXN00020737,PASS,PASS,FAIL,PASS,PASS
TXN00047298,PASS,FAIL,PASS,PASS,PASS
TXN00048323,PASS,PASS,FAIL,PASS,PASS
TXN00037190,PASS,FAIL,PASS,PASS,PASS
TXN00047709,PASS,FAIL,PASS,PASS,PASS
TXN00011172,FAIL,PASS,PASS,PASS,PASS
TXN00041736,PASS,FAIL,PASS,PASS,PASS
TXN00022209,PASS,PASS,FAIL,PASS,PASS
TXN00036734,PASS,FAIL,PASS,PASS,PASS
TXN00009741,PASS,FAIL,PASS,PASS,PASS
TXN00015060,PASS,FAIL,PASS,PASS,PASS
TXN00028149,PASS,FAIL,PASS,PASS,PASS
TXN00028777,PASS,FAIL,PASS,PASS,PASS
TXN00036250,PASS,FAIL,PASS,PASS,PASS
TXN00027493,PASS,PASS,FAIL,PASS,PASS
TXN00037484,PASS,FAIL,PASS,PASS,PASS
TXN00047927,PASS,PASS,FAIL,PASS,PASS
TXN00024811,PASS,PASS,FAIL,PASS,PASS
TXN00015877,PASS,FAIL,PASS,PASS,PASS
TXN00007069,PASS,PASS,FAIL,PASS,PASS
TXN00026277,PASS,FAIL,PASS,PASS,PASS
TXN00006727,PASS,FAIL,PASS,PASS,PASS
TXN00011748,PASS,FAIL,PASS,PASS,PASS
TXN00015199,PASS,FAIL,PASS,PASS,PASS
TXN00035524,PASS,PASS,FAIL,PASS,PASS
TXN00034222,PASS,FAIL,PASS,PASS,PASS
TXN00039361,PASS,FAIL,PASS,PASS,PASS
TXN00040383,PASS,FAIL,PASS,PASS,PASS
TXN00016121,PASS,PASS,FAIL,PASS,PASS
TXN00003547,PASS,FAIL,PASS,PASS,PASS
TXN00042900,PASS,FAIL,PASS,PASS,PASS
TXN00034308,PASS,PASS,FAIL,PASS,PASS
TXN00041195,PASS,FAIL,FAIL,PASS,PASS
TXN00015997,PASS,PASS,FAIL,PASS,PASS
TXN00002459,PASS,FAIL,FAIL,PASS,PASS
TXN00008747,PASS,PASS,FAIL,PASS,PASS
TXN00004484,PASS,FAIL,PASS,PASS,PASS
TXN00020097,PASS,PASS,FAIL,PASS,PASS
TXN00019667,PASS,FAIL,PASS,PASS,PASS
TXN00006736,PASS,FAIL,FAIL,PASS,PASS
TXN00041796,PASS,FAIL,PASS,PASS,PASS
TXN00022400,PASS,FAIL,PASS,PASS,PASS
TXN00006098,PASS,FAIL,PASS,PASS,PASS
TXN00021551,PASS,FAIL,PASS,PASS,PASS
TXN00036423,PASS,FAIL,PASS,PASS,PASS
TXN00043276,PASS,PASS,FAIL,PASS,PASS
TXN00024193,PASS,FAIL,PASS,PASS,PASS
TXN00025993,PASS,FAIL,PASS,PASS,PASS
TXN00029186,PASS,PASS,FAIL,PASS,PASS
TXN00015038,PASS,PASS,FAIL,PASS,PASS
TXN00043213,PASS,PASS,FAIL,PASS,PASS
TXN00001206,PASS,FAIL,PASS,PASS,PASS
TXN00038978,PASS,FAIL,PASS,PASS,PASS
TXN00011129,PASS,FAIL,PASS,PASS,PASS
TXN00038726,PASS,FAIL,PASS,PASS,PASS
TXN00005707,PASS,FAIL,PASS,PASS,PASS
TXN00005786,PASS,PASS,FAIL,PASS,PASS
TXN00007249,FAIL,PASS,PASS,PASS,PASS
TXN00001876,PASS,PASS,FAIL,PASS,PASS
TXN00043043,PASS,PASS,FAIL,PASS,PASS
TXN00000829,PASS,FAIL,PASS,PASS,PASS
TXN00031792,PASS,PASS,FAIL,PASS,PASS
TXN00044364,PASS,PASS,FAIL,PASS,PASS
TXN00018013,FAIL,PASS,PASS,PASS,PASS
TXN00040077,PASS,FAIL,PASS,PASS,PASS
TXN00007209,FAIL,PASS,PASS,PASS,PASS
TXN00005862,PASS,FAIL,PASS,PASS,PASS
TXN00022823,PASS,FAIL,PASS,PASS,PASS
TXN00003088,PASS,FAIL,PASS,PASS,PASS
TXN00031927,PASS,FAIL,PASS,PASS,PASS
TXN00012050,PASS,FAIL,PASS,PASS,PASS
TXN00036281,PASS,PASS,FAIL,PASS,PASS
TXN00021106,PASS,PASS,FAIL,PASS,PASS
TXN00048018,PASS,PASS,FAIL,PASS,PASS
TXN00037510,PASS,PASS,FAIL,PASS,PASS
TXN00042361,PASS,PASS,FAIL,PASS,PASS
TXN00030282,PASS,PASS,FAIL,PASS,PASS
TXN00025381,PASS,FAIL,PASS,PASS,PASS
TXN00004650,PASS,FAIL,PASS,PASS,PASS
TXN00005441,PASS,FAIL,PASS,PASS,PASS
TXN00005221,PASS,PASS,FAIL,PASS,PASS
TXN00040314,PASS,FAIL,PASS,PASS,PASS
TXN00018607,PASS,FAIL,PASS,PASS,PASS
TXN00040856,PASS,FAIL,PASS,PASS,PASS
TXN00030096,PASS,FAIL,PASS,PASS,PASS
TXN00015802,PASS,FAIL,PASS,PASS,PASS
TXN00034951,PASS,PASS,FAIL,PASS,PASS
TXN00014155,PASS,FAIL,PASS,PASS,PASS
TXN00041367,PASS,PASS,FAIL,PASS,PASS
TXN00023894,PASS,PASS,FAIL,PASS,PASS
TXN00037553,PASS,FAIL,PASS,PASS,PASS
TXN00024069,FAIL,PASS,PASS,PASS,PASS
TXN00047404,PASS,PASS,FAIL,PASS,PASS
TXN00017869,PASS,FAIL,PASS,PASS,PASS
TXN00034451,PASS,FAIL,PASS,PASS,PASS
TXN00044898,PASS,FAIL,PASS,PASS,PASS
TXN00014618,PASS,PASS,FAIL,PASS,PASS
TXN00007870,PASS,FAIL,PASS,PASS,PASS
TXN00044235,PASS,PASS,FAIL,PASS,PASS
TXN00036142,PASS,FAIL,PASS,PASS,PASS
TXN00034020,PASS,FAIL,PASS,PASS,PASS
TXN00023725,PASS,PASS,FAIL,PASS,PASS
TXN00043005,PASS,FAIL,PASS,PASS,PASS
TXN00030640,PASS,PASS,FAIL,PASS,PASS
TXN00012592,PASS,FAIL,PASS,PASS,PASS
TXN00001290,PASS,PASS,FAIL,PASS,PASS
TXN00013859,PASS,FAIL,PASS,PASS,PASS
TXN00005858,PASS,FAIL,FAIL,PASS,PASS
TXN00020382,PASS,FAIL,PASS,PASS,PASS
TXN00034908,PASS,PASS,FAIL,PASS,PASS
